Date,Open,High,Low,Close,Volume
2024-01-01,72.81,73.63,71.97,73.26,44208
2024-01-02,72.84,74.1,72.63,73.25,38559
2024-01-03,72.56,73.67,71.87,72.89,31116
2024-01-04,73.26,74.53,72.48,73.57,40454
2024-01-05,71.96,72.39,71.62,71.85,10139
2024-01-06,71.78,72.24,70.78,71.02,25818
2024-01-07,70.0,71.51,69.58,70.75,45656
2024-01-08,68.76,70.37,68.75,69.68,30002
2024-01-09,69.29,69.35,68.35,68.69,15086
2024-01-10,67.83,69.29,67.33,68.76,21556
2024-01-11,68.17,68.32,66.62,67.47,37572
2024-01-12,68.56,69.17,68.34,68.77,23339
2024-01-13,69.52,70.89,69.26,70.5,14416
2024-01-14,71.49,72.1,71.12,72.07,43532
2024-01-15,72.71,73.68,71.75,72.85,47083
2024-01-16,74.3,74.84,72.95,73.78,16509
2024-01-17,73.26,74.06,71.63,72.37,46744
2024-01-18,72.54,73.59,71.64,72.97,22498
2024-01-19,73.31,74.44,72.74,74.01,42103
2024-01-20,71.48,72.87,71.47,72.11,43321
2024-01-21,71.05,71.24,70.17,70.31,17756
2024-01-22,68.38,69.64,68.35,68.73,43181
2024-01-23,70.38,71.02,69.28,69.64,27984
2024-01-24,71.42,71.69,70.28,70.84,28244
2024-01-25,70.18,71.5,69.21,71.1,12420
2024-01-26,70.86,71.46,69.93,70.4,10371
2024-01-27,71.47,72.24,70.51,71.04,13336
2024-01-28,68.53,69.46,68.0,69.28,43802
2024-01-29,70.97,71.53,70.82,71.17,25956
2024-01-30,72.39,73.11,71.08,71.93,40247
2024-01-31,73.99,74.58,73.71,73.88,41228
2024-02-01,73.91,74.25,73.04,73.95,33912
2024-02-02,71.7,73.0,71.6,72.14,12327
2024-02-03,73.6,73.81,72.26,72.99,19379
2024-02-04,75.54,76.47,74.81,74.99,26591
2024-02-05,77.13,77.32,76.42,76.74,16026
2024-02-06,78.41,79.04,78.34,78.74,16717
2024-02-07,79.31,79.56,78.77,78.91,24545
2024-02-08,79.08,79.22,78.31,78.72,26994
2024-02-09,78.82,80.03,77.9,79.32,24109
2024-02-10,80.12,80.3,79.07,79.39,24221
2024-02-11,81.24,81.57,79.56,80.34,25673
2024-02-12,83.32,83.77,82.22,82.41,23447
2024-02-13,82.59,84.06,82.11,83.41,10080
2024-02-14,82.91,83.57,82.81,83.24,27604
2024-02-15,84.35,86.0,84.28,85.18,11521
2024-02-16,85.26,86.29,85.07,85.31,48170
2024-02-17,84.05,85.44,83.2,84.91,32544
2024-02-18,85.92,86.54,84.65,85.62,10734
2024-02-19,87.37,87.89,86.92,87.78,40979
2024-02-20,90.09,90.8,89.59,89.91,17090
2024-02-21,91.52,92.41,90.55,92.2,40268
2024-02-22,92.28,92.49,91.91,91.98,43098
2024-02-23,94.29,94.84,93.48,94.26,29528
2024-02-24,95.43,96.25,95.12,95.49,21709
2024-02-25,94.95,95.72,94.9,95.11,48949
2024-02-26,96.75,97.44,96.07,96.63,33630
2024-02-27,96.44,97.04,95.83,96.84,47252
2024-02-28,97.7,97.83,96.55,96.88,45747
2024-02-29,98.81,99.59,98.0,98.5,42116
2024-03-01,99.37,99.45,98.59,99.31,40636
2024-03-02,102.21,102.82,100.99,101.71,39586
2024-03-03,103.44,103.96,102.79,103.7,35710
