Date,Open,High,Low,Close,Volume
2024-01-01,83.79,84.6,82.15,82.9,27394
2024-01-02,80.86,81.99,80.45,81.67,49859
2024-01-03,80.6,81.59,79.43,79.75,34613
2024-01-04,80.41,80.66,79.88,80.01,46115
2024-01-05,78.18,79.21,77.36,78.99,17805
2024-01-06,81.66,82.31,80.28,80.75,29181
2024-01-07,81.57,82.51,80.76,81.92,27705
2024-01-08,81.95,82.68,81.19,81.98,20431
2024-01-09,82.46,83.26,81.92,82.59,45914
2024-01-10,81.16,81.27,80.47,80.97,44979
2024-01-11,80.12,81.4,79.23,80.72,22116
2024-01-12,78.72,79.66,77.73,79.58,37077
2024-01-13,77.84,78.42,77.62,78.3,27967
2024-01-14,79.56,80.36,78.21,79.05,46186
2024-01-15,78.13,78.74,77.3,77.69,33555
2024-01-16,79.27,79.35,78.32,78.54,35600
2024-01-17,78.39,80.19,78.17,79.33,29246
2024-01-18,80.49,80.51,78.61,79.59,21169
2024-01-19,81.47,82.22,81.23,81.4,17709
2024-01-20,83.05,83.64,82.48,83.18,21975
2024-01-21,84.0,84.25,83.14,84.06,16941
2024-01-22,83.28,84.28,82.86,84.15,46609
2024-01-23,84.54,84.87,83.37,84.21,30974
2024-01-24,86.79,87.06,85.66,86.1,42524
2024-01-25,87.65,88.01,86.44,87.1,26329
2024-01-26,88.78,88.8,88.13,88.64,49970
2024-01-27,86.38,87.73,85.56,87.37,11965
2024-01-28,86.9,87.58,85.44,85.93,31953
2024-01-29,85.67,86.2,85.47,85.5,39356
2024-01-30,87.75,88.61,86.29,86.8,35340
2024-01-31,88.91,89.28,88.39,88.52,19435
2024-02-01,88.93,89.59,88.14,88.26,48401
2024-02-02,89.34,89.75,88.36,88.79,24068
2024-02-03,91.04,91.67,89.7,90.05,41497
2024-02-04,87.19,89.11,86.92,88.11,24899
2024-02-05,89.17,89.6,88.13,88.19,29979
2024-02-06,87.06,87.08,85.71,86.63,46477
2024-02-07,85.65,85.97,85.6,85.74,34816
2024-02-08,84.62,84.64,83.81,84.51,25821
2024-02-09,81.98,82.98,81.36,82.72,11495
2024-02-10,84.36,84.59,83.55,83.62,22554
2024-02-11,86.25,86.3,85.42,86.0,35994
2024-02-12,86.73,87.47,85.67,86.62,11127
2024-02-13,87.92,88.02,86.36,87.09,16956
2024-02-14,87.56,87.73,85.98,86.78,31830
2024-02-15,88.03,89.08,87.44,88.72,34801
2024-02-16,90.88,91.31,90.17,90.84,22948
2024-02-17,90.87,92.26,90.52,91.28,45342
2024-02-18,91.85,92.47,90.94,91.47,13837
2024-02-19,92.85,93.46,91.6,92.16,49819
2024-02-20,92.98,93.75,92.18,92.76,19656
2024-02-21,93.13,93.38,92.29,93.2,35411
2024-02-22,94.06,94.38,93.54,94.14,11043
2024-02-23,95.15,95.69,94.33,94.91,11250
2024-02-24,94.58,94.62,94.39,94.58,30009
2024-02-25,95.44,96.28,94.98,96.2,38614
2024-02-26,96.86,96.98,95.77,95.94,39198
2024-02-27,98.22,99.01,97.28,97.77,43705
2024-02-28,98.55,99.29,98.07,99.19,47540
2024-02-29,101.33,101.74,101.17,101.53,48737
2024-03-01,103.04,103.33,102.27,102.39,53516
2024-03-02,103.64,104.21,102.66,103.0,56281
2024-03-03,103.34,105.2,103.33,104.3,59339
