Date,Open,High,Low,Close,Volume
2024-01-01,125.22,125.74,125.2,125.32,40116
2024-01-02,124.15,125.13,123.82,124.6,10938
2024-01-03,123.39,124.62,123.3,124.11,10652
2024-01-04,125.1,126.19,124.87,125.38,23244
2024-01-05,126.94,126.98,126.21,126.77,22088
2024-01-06,126.48,127.09,125.62,127.08,40997
2024-01-07,124.92,125.99,124.45,125.13,32858
2024-01-08,126.84,126.97,126.27,126.49,26590
2024-01-09,126.47,128.14,125.74,127.34,18118
2024-01-10,128.15,129.73,127.33,129.13,41143
2024-01-11,130.31,130.61,128.77,129.7,24891
2024-01-12,128.07,128.54,127.21,128.44,21915
2024-01-13,126.09,127.21,125.24,126.92,33774
2024-01-14,125.45,126.56,124.74,126.1,20809
2024-01-15,125.54,125.66,124.09,124.6,49482
2024-01-16,122.54,123.2,121.87,122.75,28724
2024-01-17,122.96,123.88,122.92,123.42,49360
2024-01-18,123.49,124.13,122.97,123.43,10732
2024-01-19,123.28,123.58,122.03,122.66,48725
2024-01-20,121.3,121.8,120.6,121.02,42741
2024-01-21,118.51,119.54,117.66,119.46,42784
2024-01-22,119.32,120.15,118.55,119.53,30947
2024-01-23,117.98,118.75,116.98,117.73,15288
2024-01-24,117.59,118.2,116.66,117.09,48709
2024-01-25,116.07,116.3,115.18,116.08,25139
2024-01-26,117.5,118.3,116.75,117.68,35609
2024-01-27,119.87,120.26,118.24,119.0,44029
2024-01-28,118.75,119.22,118.27,118.64,20222
2024-01-29,119.83,120.21,119.15,119.19,45275
2024-01-30,116.4,117.77,115.57,117.23,39677
2024-01-31,116.32,117.36,115.67,116.4,15419
2024-02-01,114.8,115.47,114.33,114.71,11054
2024-02-02,115.22,115.51,115.09,115.19,20112
2024-02-03,115.46,116.2,115.06,115.78,32270
2024-02-04,116.25,117.02,115.23,115.26,43525
2024-02-05,114.45,114.98,113.39,113.85,17425
2024-02-06,114.23,115.32,113.46,114.4,49049
2024-02-07,113.45,115.18,113.07,114.37,13325
2024-02-08,116.79,117.28,115.43,115.97,49992
2024-02-09,117.51,118.06,117.04,117.39,45516
2024-02-10,116.38,116.68,115.74,116.52,48007
2024-02-11,117.63,118.74,117.48,118.3,43280
2024-02-12,119.13,119.52,118.13,118.94,36781
2024-02-13,118.97,119.88,118.09,119.78,37217
2024-02-14,118.53,119.36,118.35,119.33,41235
2024-02-15,120.2,120.42,119.99,120.25,33755
2024-02-16,121.76,123.33,121.2,122.53,48048
2024-02-17,124.82,125.48,122.91,123.86,30819
2024-02-18,124.31,124.68,123.16,124.08,31504
2024-02-19,123.9,124.9,122.8,123.79,44891
2024-02-20,124.12,124.66,123.43,124.56,16735
2024-02-21,125.02,126.28,124.67,125.86,37472
2024-02-22,126.27,127.54,126.11,126.96,10612
2024-02-23,127.76,128.54,127.34,127.71,30044
2024-02-24,126.83,127.78,126.13,127.69,22503
2024-02-25,129.62,130.06,128.78,128.9,25796
2024-02-26,130.06,130.18,129.8,130.09,39730
2024-02-27,130.83,131.38,130.53,131.12,32226
2024-02-28,133.83,134.26,133.4,133.45,35838
2024-02-29,134.06,135.32,134.04,134.36,37353
2024-03-01,135.1,135.73,133.86,134.35,38354
2024-03-02,134.87,135.88,134.63,135.38,39797
2024-03-03,136.68,137.67,135.34,135.79,41179
