Date,Open,High,Low,Close,Volume
2024-01-01,143.04,144.03,141.34,142.2,22852
2024-01-02,141.38,141.99,139.74,140.53,41538
2024-01-03,139.28,140.23,138.61,139.56,42718
2024-01-04,139.03,140.14,138.68,139.94,31917
2024-01-05,139.96,141.06,139.17,140.1,30558
2024-01-06,139.23,140.22,138.86,139.76,29432
2024-01-07,140.53,140.56,139.18,140.09,23820
2024-01-08,138.14,139.83,137.58,138.89,13577
2024-01-09,141.35,141.37,140.29,140.69,23166
2024-01-10,137.88,139.57,137.81,138.84,18832
2024-01-11,139.23,140.19,137.98,138.35,10205
2024-01-12,137.29,138.54,136.6,138.13,14591
2024-01-13,136.29,137.1,135.71,136.9,29886
2024-01-14,137.58,138.73,136.58,138.5,27314
2024-01-15,140.4,141.19,139.94,140.26,45639
2024-01-16,137.46,139.11,137.19,138.36,20114
2024-01-17,137.89,138.07,136.78,137.76,31131
2024-01-18,136.7,136.99,135.38,136.38,24025
2024-01-19,138.85,139.44,138.07,138.13,49063
2024-01-20,135.2,136.54,135.05,136.17,43348
2024-01-21,137.2,138.34,136.33,138.11,33747
2024-01-22,138.54,138.88,137.97,138.63,16721
2024-01-23,137.4,137.64,137.09,137.1,37839
2024-01-24,136.01,136.93,135.02,136.17,47201
2024-01-25,136.26,136.7,136.08,136.54,21858
2024-01-26,134.26,135.54,133.7,134.97,26486
2024-01-27,135.23,136.79,134.7,135.83,23987
2024-01-28,136.47,136.65,135.77,136.35,39871
2024-01-29,133.94,135.08,133.87,134.85,16449
2024-01-30,135.15,135.87,134.2,135.83,22068
2024-01-31,134.83,135.58,134.68,134.81,19127
2024-02-01,135.33,135.69,134.81,134.98,49744
2024-02-02,136.24,136.65,135.59,136.14,32638
2024-02-03,134.92,135.74,134.4,134.59,37783
2024-02-04,133.72,135.01,133.22,134.55,31529
2024-02-05,135.0,136.34,134.46,135.5,49472
2024-02-06,136.19,137.32,135.94,136.9,34891
2024-02-07,136.42,136.63,135.27,135.8,41188
2024-02-08,134.47,134.67,134.04,134.42,35654
2024-02-09,136.61,137.26,135.72,135.75,13732
2024-02-10,136.38,137.24,135.91,136.71,47051
2024-02-11,137.15,137.97,136.2,137.49,31980
2024-02-12,137.0,138.42,136.79,137.74,39065
2024-02-13,137.83,138.4,136.91,137.88,36030
2024-02-14,139.54,140.13,139.11,139.12,26091
2024-02-15,139.28,140.21,138.46,138.81,16141
2024-02-16,139.73,140.7,139.19,140.6,16309
2024-02-17,140.83,141.54,139.58,140.22,19240
2024-02-18,141.04,141.8,140.08,140.2,48658
2024-02-19,141.84,142.76,141.42,142.36,37338
2024-02-20,141.49,142.39,141.07,142.08,21981
2024-02-21,142.83,144.22,142.65,143.32,26614
2024-02-22,143.21,144.0,142.74,143.63,37604
2024-02-23,143.89,144.91,143.4,144.55,36866
2024-02-24,144.33,144.8,143.75,144.47,46900
2024-02-25,145.47,146.51,144.85,145.79,21674
2024-02-26,147.81,148.35,147.74,147.75,23462
2024-02-27,149.13,149.89,147.89,148.88,49116
2024-02-28,148.82,150.63,148.8,149.71,45785
2024-02-29,150.45,150.85,149.72,150.35,44199
2024-03-01,152.46,152.61,151.31,152.26,40270
2024-03-02,151.44,152.74,151.07,152.02,36392
2024-03-03,152.61,153.35,151.25,151.85,34595
