Date,Open,High,Low,Close,Volume
2024-01-01,141.15,141.52,140.75,141.28,34384
2024-01-02,141.37,141.96,140.87,141.92,17669
2024-01-03,142.1,143.81,141.86,142.97,25565
2024-01-04,144.9,145.14,144.13,144.66,19405
2024-01-05,142.96,144.49,142.34,143.49,27431
2024-01-06,143.55,144.37,143.25,143.38,16868
2024-01-07,142.72,143.48,142.54,142.91,14786
2024-01-08,142.72,142.95,142.06,142.71,22365
2024-01-09,142.31,143.02,142.18,142.77,17549
2024-01-10,142.94,143.64,142.78,143.31,10218
2024-01-11,142.46,144.11,142.28,143.44,21266
2024-01-12,145.82,146.53,144.46,144.89,17048
2024-01-13,145.19,145.49,144.38,145.11,19365
2024-01-14,143.06,144.28,142.42,143.57,20854
2024-01-15,142.13,143.06,142.05,142.08,34614
2024-01-16,142.37,143.01,141.66,142.52,48698
2024-01-17,144.93,145.27,143.02,144.02,25855
2024-01-18,142.36,142.58,141.88,142.45,41564
2024-01-19,142.66,143.33,142.45,142.96,27687
2024-01-20,143.22,143.42,141.66,142.62,43003
2024-01-21,143.58,144.31,143.02,144.28,28202
2024-01-22,142.34,142.84,141.5,142.38,44697
2024-01-23,143.58,144.18,143.35,144.11,20684
2024-01-24,144.79,145.22,143.83,145.1,38838
2024-01-25,144.44,144.88,143.71,144.15,27674
2024-01-26,146.06,146.97,145.56,145.78,15551
2024-01-27,147.91,148.06,146.4,147.2,13587
2024-01-28,146.99,148.02,146.11,147.26,42512
2024-01-29,147.05,147.57,146.78,146.91,39258
2024-01-30,145.59,145.98,144.98,145.2,29457
2024-01-31,145.4,146.79,145.38,145.94,36583
2024-02-01,147.8,148.42,147.15,147.53,15383
2024-02-02,146.96,147.83,146.75,147.54,45902
2024-02-03,148.95,149.75,147.55,148.47,10116
2024-02-04,148.08,148.71,146.62,147.29,23654
2024-02-05,146.34,147.09,145.29,145.89,14924
2024-02-06,144.68,145.13,143.96,145.01,32963
2024-02-07,147.16,147.44,145.62,146.4,10766
2024-02-08,147.66,148.01,146.86,147.16,37294
2024-02-09,145.66,146.77,145.62,145.77,16774
2024-02-10,144.95,145.45,144.13,145.03,38120
2024-02-11,148.16,148.65,147.21,147.47,33852
2024-02-12,149.2,149.79,148.74,149.09,47597
2024-02-13,149.34,151.06,148.84,150.11,26830
2024-02-14,152.13,152.61,151.64,151.7,26906
2024-02-15,152.6,153.07,152.08,152.77,40978
2024-02-16,152.58,153.02,152.48,152.49,35239
2024-02-17,153.56,154.99,152.87,154.5,40190
2024-02-18,156.79,157.25,155.43,155.85,25251
2024-02-19,156.32,156.8,155.56,156.4,13365
2024-02-20,157.15,158.11,157.07,157.8,18122
2024-02-21,158.99,159.72,158.03,158.04,18293
2024-02-22,159.06,159.91,157.84,158.28,28860
2024-02-23,160.59,161.09,159.06,159.74,14645
2024-02-24,160.45,161.35,159.71,161.25,13952
2024-02-25,161.51,161.62,160.8,161.04,23283
2024-02-26,161.66,162.53,161.58,162.37,33180
2024-02-27,164.1,164.88,163.59,163.73,22844
2024-02-28,166.44,167.25,165.41,166.18,21710
2024-02-29,167.48,167.85,166.73,166.77,18120
2024-03-01,165.95,167.2,165.47,166.46,16733
2024-03-02,167.68,168.33,167.04,167.56,13083
2024-03-03,166.65,167.26,166.15,167.23,9891
